States,Population,Income,Illiteracy,Life Exp,Murder,HS Grad,Frost,Area
Alabama,3615,3624,2.1,69.05,15.1,41.3,20,50708
Indiana,5313,4458,0.7,70.88,7.1,52.9,122,36097
Connecticut,3100,5348,1.1,72.48,3.1,56,139,4862
Nebraska,1544,4508,0.6,72.6,2.9,59.3,139,76483
Kentucky,3387,3712,1.6,70.1,10.6,38.5,95,39650
Maine,1058,3694,0.7,70.39,2.7,54.7,161,30920
New York,18076,4903,1.4,70.55,10.9,52.7,82,47831
Rhode Island,931,4558,1.3,71.9,2.4,46.4,127,1049
Arkansas,2110,3378,1.9,70.66,10.1,39.9,65,51945
Idaho,813,4119,0.6,71.87,5.3,59.5,126,82677
North Carolina,5441,3875,1.8,69.21,11.1,38.5,80,48798
Illinois,11197,5107,0.9,70.14,10.3,52.6,127,55748
Mississippi,2341,3098,2.4,68.09,12.5,41,50,47296
Missouri,4767,4254,0.8,70.69,9.3,48.8,108,68995
North Dakota,637,5087,0.8,72.78,1.4,50.3,186,69273
Florida,8277,4815,1.3,70.66,10.7,52.6,11,54090
Iowa,2861,4628,0.5,72.56,2.3,59,140,55941
Vermont,472,3907,0.6,71.64,5.5,57.1,168,9267
Maryland,4122,5299,0.9,70.22,8.5,52.3,101,9891
Louisiana,3806,3545,2.8,68.76,13.2,42.2,12,44930
Ohio,10735,4561,0.8,70.82,7.4,53.2,124,40975
Nevada,590,5149,0.5,69.03,11.5,65.2,188,109889
Delaware,579,4809,0.9,70.06,6.2,54.6,103,1982
West Virginia,1799,3617,1.4,69.48,6.7,41.6,100,24070
California,21198,5114,1.1,71.71,10.3,62.6,20,156361
Utah,1203,4022,0.6,72.9,4.5,67.3,137,82096
Virginia,4981,4701,1.4,70.08,9.5,47.8,85,39780
New Jersey,7333,5237,1.1,70.93,5.2,52.5,115,7521
Tennessee,4173,3821,1.7,70.11,11,41.8,70,41328
Hawaii,868,4963,1.9,73.6,6.2,61.9,0,6425
